RecipeId,Name,CookTime,PrepTime,TotalTime,RecipeIngredientParts,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeInstructions
541192,Olive-Pimento Cheese Spread,0,PT30M,PT30M,"c(""cream cheese"", ""stuffed green olives"", ""chili sauce"", ""ketchup"", ""garlic powder"", ""seasoning salt"", ""black pepper"", ""onion powder"")",46.6,4.5,2,10.4,175.7,1.2,0.4,0.6,0.7,"c(""drain olives, saving juice for later."", ""beat cream cheese until almost starting to fluff."", ""combine all ingredients except for olive juice."", ""refrigerate overnight, covered, allowing flavers to develope and blend."", ""adjust texture and flavor with reserved olive juice and possibly lemon juice."", ""Service on crackers or you can stuff celery."")"
541193,Chicken Noodle Comfort Casserole,PT45M,PT45M,PT1H30M,"c(""milk"", ""onion"", ""butter"", ""salt"", ""pepper"")",548.6,24.7,9.2,132.2,1693.8,45.1,4.1,5,35.6,"c(""Preheat oven to 350 degrees."", ""Cook noodles as directed on package."", ""Mix the remaining ingredients, then add the cooked noodles and mix well."", ""Pour into a greased large casserole and cover."", ""Bake for 30 minutes and then uncover and bake 15 minutes longer."", ""You can freeze before baking."")"
541194,Mom's Turkey Stuffing,PT30M,PT1H,PT1H30M,"c(""onions"", ""potatoes"", ""salt"", ""pepper"", ""oregano"", ""sage"", ""poultry seasoning"", ""onion powder"")",243.7,3.5,0.6,0,554,47.1,4.2,4.2,6.4,"c(""Cook potaoes until fork tender."", ""Dip each slice of bread in water, squeeze and break up into a large bowl."", ""Add onions, potatoes and spices together."", ""Drizzle oil on top and mix."", ""Refrigerate overnight to blend flavors together."")"
541195,The Most Refreshing Lemo0de,PT2M,PT5M,PT7M,"c(""white sugar"", ""cold water"", ""lemon juice"")",177.4,0.1,0,0,9.1,46.5,0.2,44.1,0.2,"c(""In a saucepan, add the sugar and 1 cup cold water. Place over low heat and stir constantly to dissolve sugar."", ""Remove from heat and allow to cool to room temperature."", ""While the sugar-water mix is cooling, juice 1.5 cups lemon juice into a medium bowl using a citrus juicer."", ""Add the lemon juice and sugar-water mix to a serving pitcher. Add 7 more cups of cold water and stir."", ""Enjoy immediately or chill for 30 minutes before serving. You can also add ice to glasses (optio0l)."")"
541196,Anthony's Spicy Spi0ch and Artichoke Dip,PT3H,PT15M,PT3H15M,"c(""fresh spi0ch"", ""artichokes"", ""cream cheese"", ""sour cream"", ""mozzarella cheese"", ""parmesan cheese"", ""fresh garlic"", ""black pepper"", ""salt"", ""red pepper flakes"", ""garlic"")",227.9,17.9,10.3,54.6,495.4,8.3,3.1,2.4,10.5,"c(""Mix all ingredients in a large bowl and stir until evenly combined.  Spray a slow cooker evenly with cooking spray (I just use some olive oil because I don't use cooking spray) and transfer all ingredients to the slow cooker."", ""Cook on low for 3 hours or until dip is completely warmed through and the cheese has melted."", ""Serve warm with chips, bread, vegetables, or any dippers you prefer."")"
541197,Crispy Rice Chocolate Chip Butterscotch Oatmeal Cookies,PT10M,PT15M,PT25M,"c(""all-purpose flour"", ""kosher salt"", ""baking powder"", ""baking soda"", ""unsalted butter"", ""light brown sugar"", ""sugar"", ""egg"", ""vanilla extract"", ""old fashioned oats"", ""sea salt"")",165.7,8.3,5.2,23,199.2,21.9,0.7,13.1,1.8,"c(""Preheat the oven to 375.  Line a baking sheet with parchment paper.  (I skipped this step and used my butter wrappers to grease the pan instead)."", ""In a medium bowl, whisk together the flour, salt, brown sugar, and granulated sugar until smooth."", ""Add the egg and vanilla, then whisk until well combined."", ""Gradually add the dry ingredients to the wet ingredients, using a rubber spatula to incorporate.  Do not overmix."", ""Fold in the rice cereal, chocolate chips, butterscotch chips, and oats."", 
""Cover the bowl with plastic wrap and chill the dough in the refrigerator for 30 minutes."", ""Scoop tablespoon sized balls of cooking dough onto the prepared baking sheet."", ""Bake for 10 minutes, or until golden brown."", ""Let cool on baking sheet for 1 minute before transferring to a wire rack.  Sprinkle with flaky sea salt, if desired."")"
541198,Gujjiya,PT30M,PT20M,PT50M,"c(""all-purpose flour"", ""green cardamom powder"", ""semoli0"", ""ghee"", ""water"")",2357.6,158.5,97.4,401.1,9.2,206,7.6,0.7,28.9,"c(""Mix the all-purpose flour and water and knead it well. Add some ghee too."", ""Take a frying pan and sautekhoya and semoli0 till it turns golden, keep it aside and let it cool."", ""To prepare the filling for Gujiya you need to add sugar, green cardamom and soaked almonds to the khoya and mix them well. You can add some dry roasted nuts and raisins to make it more delicious and crunchy. Spread 2 drops of ghee on your palms for the next step."", ""Make puris from the dough and fill them with the sumptuous mixture you made. Seal the corners and roll the sides as per the design you want."", 
""Take a pan and heat ghee over medium flame. Fry the Gujiyas till they turn golden brown from all the sides. For garnishing use some saffron strands and crushed pistachios."")"
541199,Sauce Gribiche by David Lebovitz,PT10M,PT5M,PT15M,"c(""egg"", ""Dijon mustard"", ""olive oil"", ""red wine vinegar"", ""capers"", ""herbs"", ""tarragon"")",179.7,19.2,2.9,46.5,228.7,0.5,0.2,0.2,1.7,"c(""Cook the egg in boiling water for 10 minutes. Remove from heat, drain away the water, and cool the egg by adding ice and cold water to the pot."", ""2. Once cool, peel the egg then extract the yolk. In a medium-sized bowl, mash the yolk until smooth with the mustard."", ""3. Dribble in the olive oil, beating with a fork or wooden spoon while doing so (trying to make an emulsion), then adding the vinegar."", ""4. Chop the egg white and cornichon separately into fine cubes, the size of the capers, and add them to the sauce. Then add the capers themselves."", 
""5. Stir in the herbs and add salt and pepper. Taste, and season with additio0l salt, pepper, and vinegar, if necessary. Serve at room temperature."")"
541200,Nuts and Bolts Chex Mix,PT1H30M,PT10M,PT1H40M,"c(""butter"", ""Worcestershire sauce"", ""seasoning salt"")",3847.3,289.3,52.8,73.2,5422.9,263.2,53.4,32.7,103.1,"c(""Preheat oven to 250 deg F."", ""Melt butter in small pan and add Worcestershire sauce and seasonings to the melted butter."", ""Combine all cereal, nuts and pretzels in a large pan."", ""Pour 1/2 butter mixture over the cereal mixture and mix well, then pour the remaining butter mixture over the cereal and mix again."", ""Bake at 250 deg F for 1-1/2 hour stirring well every 15 minutes."", ""let cool for several hours or over night then bag in zip lock bags."")"
541201,Joan Did It's Sweet Potatoes,PT15M,PT30M,PT45M,"c(""sweet potatoes"", ""eggs"", ""butter"", ""butter"", ""brown sugar"", ""pecans"")",822.1,56.6,24.4,184.5,408.4,77.5,5.5,58.6,7.6,"c(""SWEET  POTATOES."", ""Boil potatoes.  Mash with 1/2 stick of butter and 2 eggs (will be a little lumpy)."", ""Put in 10\"" pie pan."", ""TOPPING."", ""Cook 1 stick of butter and 1 cup of brown sugar until it starts to become syrup.  Add chopped pecans and pour over sweet potatoes."", ""BAKE AT 350 degrees for about 15 minutes (until it starts to bubble.)."")"
541202,HAMBURGER HELPER COPYCAT,PT20M,PT10M,PT30M,"c(""lean ground beef"", ""sea salt"", ""black pepper"", ""red onion"", ""garlic cloves"", ""ketchup"", ""tomato paste"", ""prepared mustard"", ""elbow macaroni"", ""low sodium beef broth"", ""light sour cream"", ""cheddar cheese"", ""parsley"")",826.8,42.9,22.8,190,1030.6,49.8,2.5,5,57.8,"c(""In a large skillet over medium-high heat, add beef and break it down into small pieces; season with salt and pepper. When half way cooked, add onions and continue cooking until meat is no longer pink and onions are softened, about 2 Â½ to 3 minutes. Add garlic and sautĂ© for 1 minute."", ""Add ketchup, tomato paste, mustard, hot sauce, taco seasoning, and re-season with salt and freshly ground black pepper; stir well. Add macaroni and pour in broth; stir well. Bring to a boil then reduce to medium-low, cover and simmer for 15 minutes or until macaroni is cooked through."", 
""Add sour cream and stir well. Add cheese and stir until melted. Sprinkle on some chopped parsley and serve immediately. Serves 4."")"
541203,HEALTHY Hamburger Gravy,PT5M,PT10M,PT15M,"c(""ground beef"", ""water"", ""garlic"", ""pepper"")",398.5,25.6,9.6,102.8,1284.2,10.3,0.7,1.2,29.7,"c(""Brown hamburger and drain off the grease."", ""add water, garlic, and pepper.  Stir."", ""add cream of mushroom soup and stir until mixed."", ""heat for 1 or 2 minutes until hot."", ""Serve over mashed potatoes, bread, rice -- whatever you want."")"
541204,Instant Pot Chili,PT15M,PT10M,PT25M,"c(""olive oil"", ""onion"", ""garlic cloves"", ""tomato paste"", ""ground beef"", ""low sodium beef broth"", ""kidney beans"", ""black beans"", ""diced tomatoes"", ""chili powder"", ""ground cumin"", ""dried oregano"", ""cayenne"", ""kosher salt"", ""fresh ground black pepper"", ""cheddar cheese"", ""sour cream"", ""green onion"")",127.6,6.2,2.2,23.1,109.7,8.9,3.1,1.4,9.2,"c(""Set Instant Pot to SautĂ© function and add oil. Add onion and cook until soft, 5 minutes. Stir in garlic and cook until fragrant, 1 minute, then add tomato paste, stirring to combine. Add ground beef and cook, breaking meat up with a wooden spoon, until no longer pink, 7 minutes. Drain fat, if necessary."", ""Return insert to Instant Pot and add broth, beans, tomatoes, chili powder, cumin, oregano and cayenne. Season with salt and pepper. Lock lid and set to Pressure Cook on High for 14 minutes."", 
""Follow manufacturerâ€™s instructions to quick release, then remove lid. Serve with desired toppings."")"
541205,Maple-Mustard Pork Tenderloin,PT35M,PT10M,PT45M,"c(""black pepper"", ""sea salt"", ""olive oil"", ""butter"", ""red onion"", ""garlic cloves"", ""fresh ginger"", ""rosemary"", ""dry white wine"", ""maple syrup"", ""Dijon mustard"", ""cayenne pepper"")",356.6,13,4.1,89.7,516.3,30.3,0.9,24.9,27,"c(""Season pork with black pepper; set aside. In an oven-proof skillet over medium-high heat, add oil. When hot, place pork and cook on one side until brown. Flip and transfer in a 375ÂºF preheated oven; cook for 18-22 minutes depending on the size of the loin. When inter0l temperature reaches 140-145ÂºF, remove from the heat and place tenderloin on a board with a folded sheet of aluminum on top to keep warm."", ""Return skillet on the stove and remove excess oil. Add clarified butter and turn the heat to medium. When hot, add onion and sautĂ© for 2 minutes. Add garlic, ginger and rosemary; sautĂ© for 1 minute. Pour white wine to deglaze the bottom of the pan, scraping any brown bits."", 
""When liquid is half reduced, add maple syrup, mustard and cayenne pepper; stir and cook the sauce down until turns into syrupy texture, about 8 minutes. Spoon it over the pork. 2 servings."")"
541206,Festive Holiday Oatmeal,PT12M,PT10M,PT22M,"c(""rolled oats"", ""milk"", ""water"", ""apples"", ""dried cranberries"", ""raisins"", ""pecans"", ""brown sugar"", ""brown sugar substitute"", ""kosher salt"", ""ba00s"")",571.4,21.1,7.4,37.6,372.5,83.3,9.4,28.9,16.9,"c(""In a medium size saucepan over medium heat, combine the oats, milk, apples, cranberries, pecans, salt and brown sugar. Â  Cook, stirring frequently, until the oatmeal has thickened. Â  This should take about 10-12 minutes."", ""Remove from the heat and stir in the ba00s. Â Scoop into bowls and serve with milk and additio0l brown sugar if needed.Enjoy!"")"
541207,Hearty Cheeseburger Quesadillas,PT8M,PT2M,PT10M,"c(""corn tortillas"", ""cheese slices"")",372.2,24.3,10.1,36.4,570.3,26.1,3,0.4,13.9,"c(""If your hamburger patty has been in the refrigerator, heat it in the microwave to warm it up."", ""In a nonstick frying pan put 1 teaspoon oil, and spread the oil around on the surface. Turn the stove-top burner on to medium-high heat."", ""After one minute, place one of the corn tortillas in the frying pan, then top with a cheese slice."", ""Place the hamburger patty on top of the cheese."", ""Add the second slice of cheese on the meat, then put the second corn tortilla on top."", ""When the first corn tortilla has gotten crispy, flip over the quesadilla and cook the second corn tortilla until crispy. Add the second teaspoon of oil, if needed, when cooking the second corn tortilla."", 
""Place on a paper towel for 1 minute to remove excess grease before eating."", ""Note: I like to dip this cheeseburger quesadilla in salsa  or salsa mixed into sour cream. A chili verde sauce or guacamole would also taste great!"")"
541208,Air Fryer Crispy Chicken Thighs,PT15M,PT5M,PT20M,"c(""boneless skinless chicken thighs"", ""olive oil"", ""salt"", ""garlic powder"", ""onion powder"", ""black pepper"", ""paprika"")",239.1,10.1,2.2,141.7,729.4,1.4,0.3,0.1,33.8,"c(""Remove chicken thighs from refrigerator."", ""Preheat air fryer to 400F."", ""Coat chicken on all sides with olive oil."", ""Sprinkle on all sides with spice mix."", ""Put chicken in air fryer basket, rounder-side down. Cook 10 minutes."", ""Flip chicken and cook until 165F on an instant read thermometer, 5-7 more minutes."", ""Remove from basket and let rest at least 2 minutes before serving."")"
541209,"Spiced Tomato, Chickpeas and Couscous Soup",PT20M,PT10M,PT30M,"c(""olive oil"", ""onion"", ""carrots"", ""celery"", ""harissa"", ""cumin"", ""canned tomatoes"", ""tomato paste"", ""canned chick-peas"", ""couscous"", ""parsley"", ""garlic cloves"", ""salt"", ""olive oil"", ""ground coriander"", ""caraway seed"", ""cumin"")",293.8,12,1.6,0,846.1,41.1,8.7,7.1,8.1,"c(""SautĂ© onion, carrots and celery for a few minutes in olive oil."", ""Add harissa* and cumin, stir."", ""Add all other ingredients, except couscous and parsley, stir, cover the pot and cook on low heat for about 15 minutes."", ""Stir in the couscous, cook the soup for another 5 minutes."", ""Before serving, sprinkle the soup with chopped parsley."", ""*Harissa:"", ""Soak the dried chilies in hot water for 30 minutes. Drain. Remove stems and seeds."", ""In a food processor blend chili peppers, garlic, salt, and olive oil."", 
""Add remaining spices and blend to form a smooth paste."", ""Drizzle a small amount of olive oil on top to keep fresh."", ""Store in airtight container and keep for a month in the refrigerator."")"
541210,FIG NEWTONS COOKIES,PT50M,PT20M,PT1H10M,"c(""fig"", ""water"", ""unbleached all-purpose flour"", ""baking powder"", ""sea salt"", ""unsalted butter"", ""brown sugar"", ""egg"", ""vanilla extract"", ""orange zest"")",85.1,3.2,1.9,15.4,37.6,13.2,0.2,7.6,1.1,"c(""In a medium saucepan over medium heat, add figs, water and orange juice. Bring to a simmer and cook for about 30 minutes or until figs are tender and the liquid is almost evaporated."", ""Transfer the fig mixture to the bowl of a food processor and blend to a paste, stopping to scrape the sides if needed. Transfer the paste to a bowl to cool off."", ""Meanwhile, combine flour, baking powder and salt in a big bowl; whisk well."", ""In the bowl of a stand mixer, add butter and brown sugar. With the paddle attachment on, process until creamy. Add egg, vanilla and orange zest; process until well mixed, about 30 seconds."", 
""Add flour mixture and on low speed, process until the dough comes together, about 1 minute. Transfer the dough onto a work surface and form 3 equal balls. Place them in a bowl and transfer to the fridge to chill, at least 15 minutes."", ""Preheat oven to 350ÂºF and line a large baking sheet with parchment paper; set aside."", ""When chilled, working in batches, place one ball on a parchment paper and form a small rectangle. Place another parchment paper on top and flatten it out with a rolling pin to about 5-inches wide x 12-inches long and a little less than Â¼-inch thick. Scoop 1/3 fig paste in the center of dough and spread it out evenly, leaving some space around the edges."", 
""Bring one side of the cookie dough over the paste using the parchment paper to help fold it over. Gently peel off the dough from the paper; repeat with the other side. Cut the ends of the log to make it neater and even. Measure the width of the log and cut the same measurement lengthwise so the cookies are square. Place them on the prepared baking sheet, leaving some space in between each cookie."", ""Transfer to the preheated oven and bake for 16 to 18 minutes or until golden on the bottom. Remove from the heat and place them on a wire rack to cool. Makes 2 dozen.""
)"
541211,Sausage Noodle Leftover Casserole,PT30M,PT15M,PT45M,"c(""sausages"", ""onion"", ""celery"", ""garlic clove"", ""cream cheese"", ""cheese"")",714.9,42.6,19.7,185.8,575.3,59.4,3.2,3.7,23.4,"c(""1. Cut sausages into bite size pieces and brown together with chopped onion, celery and garlic. Season to taste if needed."", ""2. Boil noodles according to package direction and once cooked and drained add back to pot and add any leftover spaghetti sauce, cream of mushroom (or broccoli, etc) and the browned sausage with onions, celery and garlic. Stir well to evenly coat everything in the pot."", ""3. Place noodle and sausage mixture i0 large casserole dish and dot with leftover cream cheese and sprinkle liberallly with shredded cheese."", 
""4. Place in an oven set to 350 Fahrenheit and bake for 30 minutes or until the cheese has melted to your preferred taste."")"
